date, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Real GDP QoQ %
1955-03-01,87.199
1955-06-01,87.609,0.38
1955-09-01,90.064,8.26
1955-12-01,90.563,-1.98
1956-03-01,92.379,4.28
1956-06-01,92.719,-1.03
1956-09-01,93.795,-0.38
1956-12-01,94.744,1.77
1957-03-01,97.621,7.92
1957-06-01,98.372,-0.08
1957-09-01,98.554,-2.46
1957-12-01,98.96,0.67
1958-03-01,101.883,8.32
1958-06-01,99.901,-9.09
1958-09-01,102.61,8.81
1958-12-01,103.252,0.41
1959-03-01,104.005,2.09
1959-06-01,106.094,6.59
1959-09-01,108.502,8.38
1959-12-01,111.797,10.17
1960-03-01,114.869,9.77
1960-06-01,114.518,-2.87
1960-09-01,116.586,6.07
1960-12-01,117.76,2.44
1961-03-01,119.925,6.52
1961-06-01,120.478,1.61
1961-09-01,120.559,-2.09
1961-12-01,120.521,-0.64
1962-03-01,121.667,1.89
1962-06-01,123.117,3.72
1962-09-01,124.125,2.43
1962-12-01,124.017,-1.44
1963-03-01,124.975,2.06
1963-06-01,130.645,17.16
1963-09-01,131.585,2.03
1963-12-01,135.577,8.88
1964-03-01,136.662,2.41
1964-06-01,139.471,6.91
1964-09-01,140.679,1.58
1964-12-01,143.458,6.09
1965-03-01,143.857,-1.12
1965-06-01,144.512,0.43
1965-09-01,146.334,3.32
1965-12-01,148.239,2.48
1966-03-01,149.453,0.66
1966-06-01,151.537,2.32
1966-09-01,153.572,1.32
1966-12-01,154.328,-1.67
1967-03-01,156.995,5.45
1967-06-01,160.126,5.61
1967-09-01,162.258,1.76
1967-12-01,164.903,2.13
1968-03-01,172.723,14.54
1968-06-01,173.886,-1.73
1968-09-01,179.139,7.96
1968-12-01,182.574,1.6
1969-03-01,184.281,-0.89
1969-06-01,187.763,2.92
1969-09-01,191.214,2.26
1969-12-01,194.389,2.05
1970-03-01,195.626,-2.56
1970-06-01,202.698,9.43
1970-09-01,206.444,3.97
1970-12-01,211.237,3.5
1971-03-01,213.407,-2.36
1971-06-01,220.199,7.14
1971-09-01,226.467,6.96
1971-12-01,229.609,1.58
1972-03-01,233.276,0.42
1972-06-01,241.353,10.71
1972-09-01,244.548,1.09
1972-12-01,252.329,6.26
1973-03-01,267.924,19.82
1973-06-01,271.799,0.57
1973-09-01,275.365,-3.83
1973-12-01,280.589,-1.7
1974-03-01,278.603,-10.9
1974-06-01,290.201,5.77
1974-09-01,300.778,2.59
